fecha,descripcion,monto,producto
2024-03-01,Pago de alquiler oficina,1500.00,Cuenta Principal
2024-03-02,Servicios de internet,89.99,Tarjeta Corporativa
2024-03-03,Compra de suministros oficina,245.50,Tarjeta Corporativa
2024-03-04,Pago nómina empleados,3500.00,Cuenta Principal
2024-03-05,Servicio de limpieza,150.00,Tarjeta Corporativa
2024-03-06,Software subscripción mensual,49.99,Tarjeta Corporativa
2024-03-07,Mantenimiento equipos,350.00,Cuenta Principal
2024-03-08,Publicidad en redes sociales,200.00,Tarjeta Corporativa
2024-03-09,Seguro empresarial,450.00,Cuenta Principal
2024-03-10,Capacitación personal,750.00,Cuenta Principal 